,word,count
0,#cebu,6
1,#africa,1
2,#Cebu,1
3,#세부아프리카엣홈,1
4,#아프리카엣홈,1
5,#딜리버리,1
6,#세부배달음식,1
7,#세부맛집,2
8,#세부반찬,1
9,#세부홈쿡,1
10,#세부,13
11,#막탄,1
12,#세부집밥,2
13,#집밥,3
14,#세부여행,11
15,#세부한달살기,1
16,#세부자유여행,3
17,#여행스타그램,1027
18,#맘스타그램,16
19,#육아스타그램,17
20,#제이파크리조트,1
21,#크림슨리조트,1
22,#세부샹그릴라,1
23,#세부플랜테이션베이,1
24,#세부솔레아리조트,1
25,#아이반찬,1
26,#데일리,264
27,#친구,9
28,#선물,6
29,#ootd,132
30,#f4f,75
31,#flf,4
32,#책,2
33,#책스타그램,6
34,#카페,97
35,#카페스타그램,38
36,#커피스타그램,5
37,#데이트,19
38,#럽스타그램,120
39,#운동,10
40,#운동하는여자,12
41,#운동스타그램,26
42,#드라이브,5
43,#감성,43
44,#맞팔,214
45,#소통,238
46,#꽃스타그램,3
47,#꽃모닝,1
48,#커플그램,1
49,#여행,445
50,#주말여행,7
51,#영어강사,1
52,#그림스타그램,3
53,#여행에미치다,235
54,#보라카이,5
55,#필리핀,5
56,#필리핀여행,3
57,#셀스타그램,217
58,#얼스타그램,103
59,#보라카이여행,2
60,#화이트비치,1
61,#첫줄,42
62,#좋반,125
63,#좋아요반사,149
64,#행복,21
65,#좋아요,177
66,#스냅사진,9
67,#인생샷,12
68,#말룸파티,1
69,#참이슬,1
70,#후레시,1
71,#얼굴벌개짐,1
72,#daily,189
73,#instaphoto,1
74,#instapic,10
75,#dailypic,2
76,#boracay,3
77,#philippines,4
78,#kalibo,1
79,#whitebeach,1
80,#ㅤㄲㅔㄹ끄쇼즈,3
81,#뉴욕여행,7
82,#뉴욕,10
83,#dumbobrooklyn,1
84,#brooklynbridge,1
85,#nyc,6
86,#셀피,155
87,#셀카,193
88,#일상,341
89,#데일리룩,73
90,#인친,88
91,#인스타,23
92,#인스타그램,70
93,#선팔,188
94,#팔로우,132
95,#팔로워,27
96,#팔로잉,13
97,#오오티디,91
98,#맨투맨,11
99,#아메카지,12
100,#그런지룩,11
101,#힙합,11
102,#아메카지룩,11
103,#빈티지,11
104,#옷스타그램,40
105,#패션스타그램,22
106,#insta,20
107,#fff,64
108,#lfl,30
109,#우리의10주년,1
110,#남편이,1
111,#휴가,25
112,#여행을떠나리라,1
113,#근데어디가지,1
114,#오늘저녁은,1
115,#또머해먹지,1
116,#주부일상,2
117,#주부들이,1
118,#항상저녁걱정,1
119,#일상샷,1
120,#일상소통,14
121,#일상공유,4
122,#정주부,1
123,#정새댁,1
124,#신혼부부,15
125,#무서워,2
126,#겨울여행,24
127,#대관령양떼목장,2
128,#프레쉬포유,1
129,#과일,1
130,#제철과일,1
131,#수입과일,1
132,#과일택배,1
133,#과일가게,1
134,#과일배송,1
135,#과일맛집,1
136,#프리미엄과일,1
137,#과일정기배송,1
138,#정기배송,1
139,#맛있는과일,1
140,#간식스타그램,1
141,#아기간식,1
142,#과일배달,1
143,#육아맘,10
144,#육아그램,1
145,#셀카스타그램,5
146,#혼밥,5
147,#파티음식,3
148,#소통해요,49
149,#집밥스타그램,2
150,#취미스타그램,1
151,#파티,2
152,#12월,4
153,#크리스마스,55
154,#연말,28
155,#신혼스타그램,8
156,#리얼,1
157,#동백꽃길,1
158,#동백포레스트,7
159,#동백꽃,15
160,#동백여행,1
161,#동백꽃잎,1
162,#제주여행,39
163,#제주동백,3
164,#travel,224
165,#jejuisland,9
166,#camelia,1
167,#phonephotography,1
168,#travelphotography,33
169,#travelholic,20
170,#동유럽,8
171,#travelpic,4
172,#austria,5
173,#salzburg,3
174,#photo,15
175,#christmas,27
176,#dailyshot,3
177,#likeforlikes,32
178,#instagood,64
179,#like4likes,25
180,#likeforfollow,35
181,#오스트리아,6
182,#짤츠부르크,3
183,#christmasmarket,3
184,#taiwantravel,5
185,#taiwan1,3
186,#흑백사진,1
187,#좋아요그램,10
188,#인스타데일리,9
189,#dailylook,37
190,#l4l,34
191,#샌프란시스코,2
192,#sanfrancisco,3
193,#depound,1
194,#abib,1
195,#서울점심,1
196,#아보카도,1
197,#아보카도요리,1
198,#아보카도김밥,1
199,#이색김밥,1
200,#김밥맛집,1
201,#도시락,2
202,#서울역맛집,1
203,#서울역,1
204,#ktx,3
205,#동자동맛집,1
206,#숙대맛집,1
207,#숙대입구맛집,1
208,#회현맛집,1
209,#서울역카페,1
210,#먹스타그램,131
211,#맛스타그램,67
212,#기차여행,4
213,#맛집추천,6
214,#용산맛집,1
215,#용산구맛집,1
216,#블랙랩,1
217,#블랙랩테드,1
218,#테드와함께,1
219,#제주도여행,35
220,#준비중,1
221,#켄넬꾸미기,1
222,#힐링,32
223,#2019,8
224,#새해맞이,1
225,#가즈아,1
226,#selfie,138
227,#제주,41
228,#이스트포레스트,1
229,#eastforest,1
230,#동해바다,1
231,#바다뷰,2
232,#고성카페,2
233,#카페투어,17
234,#스테이새별앤오름,1
235,#새별동,1
236,#12월제주여행,1
237,#제주겨울여행,1
238,#제주가족펜션,1
239,#제주신축펜션,2
240,#제주감성펜션,1
241,#애월독채펜션,1
242,#애월가족펜션,1
243,#애월신상펜션,1
244,#애월예쁜펜션,1
245,#새별오름,3
246,#제주억새,1
247,#제주핑크뮬리,1
248,#곽지해변,1
249,#한담해변,1
250,#제주핫플,4
251,#애월핫플,1
252,#달콤제과,1
253,#잉거도자기박물관,1
254,#travelgram,57
255,#landscape,15
256,#snapshot,8
257,#follower,6
258,#jeju,31
259,#댓글,36
260,#세계여행,9
261,#스냅,10
262,#memories,6
263,#추억,11
264,#사진,51
265,#newzealand,5
266,#김해공항,1
267,#김해공항국제선,1
268,#미국,10
269,#에어차이나,2
270,#airchina,2
271,#기내식,5
272,#에어차이나기내식,1
273,#신라대학생인난해외탐방간다,2
274,#신난다,2
275,#usa,19
276,#나홀로여행,4
277,#시드니,7
278,#오페라하우스,3
279,#한여름의크리스마스,1
280,#sydney,5
281,#operahouse,3
282,#호주여행,5
283,#시드니여행,3
284,#파란하늘은주작,1
285,#여보도,1
286,#강원도,17
287,#강원도여행,13
288,#속초,8
289,#고성,1
290,#애견동반여행,1
291,#애견동반카페,1
292,#속초애견동반,1
293,#푸들,1
294,#크림푸들,1
295,#반려견,7
296,#신혼일상,3
297,#패션,67
298,#인친환영,18
299,#여자코디,2
300,#선팔환영,7
301,#스물두살,2
302,#fashion,15
303,#outfit,8
304,#남자친구,3
305,#곰신,2
306,#곰신스타그램,3
307,#맞좋튀,2
308,#첫줄좋반,18
309,#첫줄반사,27
310,#최근게시글,16
311,#모델,18
312,#첫줄좋아요,16
313,#직딩,19
314,#직장인,28
315,#맛집,86
316,#연예인,16
317,#예술가,16
318,#사진가,16
319,#갬성,22
320,#일상스타그램,117
321,#좋아요테러,30
322,#instagram,43
323,#japan,31
324,#china,24
325,#아이폰,28
326,#댓글소통,1
327,#협찬,5
328,#문의,1
329,#광안리,35
330,#홍대,32
331,#강남,18
332,#선팔하면맞팔,98
333,#맞팔환영,29
334,#lifestyle,4
335,#방파인,1
336,#왓마하탓,1
337,#왓프라씨산펫,1
338,#코끼리,1
339,#태국,22
340,#태국여행,21
341,#방콕,10
342,#방콕여행,7
343,#아유타야,1
344,#더워요,1
345,#마지막날,2
346,#여행끝,1
347,#호이안,11
348,#베트남,31
349,#베트남여행,10
350,#dailyinsta,1
351,#제주도,76
352,#카멜리아힐,2
353,#camallia,1
354,#traveler,19
355,#travelphotograph,1
356,#puntademita,1
357,#푸에르토바야르타,1
358,#mexico,18
359,#예퍼2020,1
360,#예퍼여행,1
361,#멕시코여행,18
362,#instadaily,51
363,#cafe,22
364,#dessert,5
365,#instafood,12
366,#신상카페,1
367,#카페추천,3
368,#가오픈,1
369,#가오픈카페,1
370,#온더테이블,3
371,#vienna,2
372,#belvederepalace,1
373,#비엔나,2
374,#벨베데레궁전,1
375,#여행사진,34
376,#감성사진,17
377,#사진기록,1
378,#여행기록,33
379,#voyaged,1
380,#대만여행,16
381,#대만,22
382,#가오슝,3
383,#가오슝여행,3
384,#치진섬,2
385,#무지개교회,1
386,#kaohsiung,4
387,#qijin,1
388,#taiwan,19
389,#울애기,1
390,#인생,3
391,#첫번째,1
392,#처음,2
393,#itx,1
394,#기차,3
395,#놀스타그램,1
