,User_Name,Tags,Datetime,Like_Count
0,lovely._.02,[],2019년 12월 27일,18
1,heejin______kim,"['#ootd', '#f4f', '#flf', '#책', '#책스타그램', '#카페', '#카페스타그램', '#커피스타그램', '#데이트', '#럽스타그램', '#운동', '#운동하는여자', '#운동스타그램', '#드라이브', '#감성', '#데일리', '#맞팔', '#소통', '#꽃스타그램', '#꽃모닝', '#커플그램', '#여행', '#주말여행', '#여행스타그램', '#영어강사', '#그림스타그램']",2019년 12월 27일,15
2,likechu_,"['#여행에미치다', '#여행스타그램', '#보라카이', '#필리핀', '#필리핀여행', '#셀스타그램', '#얼스타그램', '#보라카이여행', '#화이트비치', '#첫줄', '#좋반', '#좋아요반사', '#데일리', '#여행', '#행복', '#좋아요', '#스냅사진', '#인생샷', '#말룸파티', '#참이슬', '#후레시', '#얼굴벌개짐', '#daily', '#instaphoto', '#instapic', '#dailypic', '#boracay', '#philippines', '#kalibo', '#whitebeach']",2019년 12월 27일,44
3,purebreadgirl,['#ㅤㄲㅔㄹ끄쇼즈'],2019년 12월 27일,7
4,sssong__eee,"['#뉴욕여행', '#뉴욕', '#여행', '#여행스타그램', '#dumbobrooklyn', '#brooklynbridge', '#nyc']",2019년 12월 27일,11
5,jyj624,"['#우리의10주년', '#남편이', '#휴가', '#여행을떠나리라', '#근데어디가지', '#여행스타그램', '#첫줄', '#오늘저녁은', '#또머해먹지', '#주부일상', '#주부들이', '#항상저녁걱정', '#일상샷', '#일상소통', '#일상공유', '#정주부', '#정새댁', '#신혼부부', '#럽스타그램', '#인친', '#선팔', '#맞팔', '#팔로우', '#fff', '#좋아요']",2019년 12월 27일,9
6,james_wanderlust,[],2019년 12월 27일,97
7,myung_eunie,"['#무서워', '#겨울여행', '#대관령양떼목장']",2019년 12월 27일,17
8,sucasa_private,['#yoojinkim'],2019년 12월 27일,66
9,min_vely12,[],2019년 12월 27일,61
10,fresh.for.you,"['#프레쉬포유', '#과일', '#제철과일', '#수입과일', '#과일택배', '#과일가게', '#과일배송', '#과일맛집', '#프리미엄과일', '#과일정기배송', '#정기배송', '#맛있는과일', '#간식스타그램', '#아기간식', '#일상', '#과일배달', '#육아맘', '#육아그램', '#셀카스타그램', '#혼밥', '#파티음식', '#소통해요', '#집밥스타그램', '#여행스타그램', '#취미스타그램', '#파티', '#12월', '#크리스마스', '#연말', '#신혼스타그램']",2019년 12월 27일,2
