,word,count
0,#ootd,37
1,#f4f,15
2,#flf,1
3,#책,2
4,#책스타그램,3
5,#카페,24
6,#카페스타그램,15
7,#커피스타그램,3
8,#데이트,9
9,#럽스타그램,48
10,#운동,4
11,#운동하는여자,5
12,#운동스타그램,9
13,#드라이브,3
14,#감성,9
15,#데일리,80
16,#맞팔,69
17,#소통,71
18,#꽃스타그램,1
19,#꽃모닝,1
20,#커플그램,1
21,#여행,134
22,#주말여행,4
23,#여행스타그램,309
24,#영어강사,1
25,#그림스타그램,2
26,#여행에미치다,75
27,#보라카이,1
28,#필리핀,3
29,#필리핀여행,1
30,#셀스타그램,63
31,#얼스타그램,37
32,#보라카이여행,1
33,#화이트비치,1
34,#첫줄,9
35,#좋반,30
36,#좋아요반사,39
37,#행복,6
38,#좋아요,50
39,#스냅사진,3
40,#인생샷,10
41,#말룸파티,1
42,#참이슬,1
43,#후레시,1
44,#얼굴벌개짐,1
45,#daily,53
46,#instaphoto,1
47,#instapic,4
48,#dailypic,1
49,#boracay,1
50,#philippines,1
51,#kalibo,1
52,#whitebeach,1
53,#ㅤㄲㅔㄹ끄쇼즈,2
54,#뉴욕여행,2
55,#뉴욕,3
56,#dumbobrooklyn,1
57,#brooklynbridge,1
58,#nyc,1
59,#우리의10주년,1
60,#남편이,1
61,#휴가,8
62,#여행을떠나리라,1
63,#근데어디가지,1
64,#오늘저녁은,1
65,#또머해먹지,1
66,#주부일상,2
67,#주부들이,1
68,#항상저녁걱정,1
69,#일상샷,1
70,#일상소통,3
71,#일상공유,2
72,#정주부,1
73,#정새댁,1
74,#신혼부부,4
75,#인친,29
76,#선팔,50
77,#팔로우,37
78,#fff,9
79,#무서워,1
80,#겨울여행,14
81,#대관령양떼목장,1
82,#yoojinkim,1
83,#프레쉬포유,1
84,#과일,1
85,#제철과일,1
86,#수입과일,1
87,#과일택배,1
88,#과일가게,1
89,#과일배송,1
90,#과일맛집,1
91,#프리미엄과일,1
92,#과일정기배송,1
93,#정기배송,1
94,#맛있는과일,1
95,#간식스타그램,1
96,#아기간식,1
97,#일상,94
98,#과일배달,1
99,#육아맘,5
100,#육아그램,1
101,#셀카스타그램,1
102,#혼밥,2
103,#파티음식,1
104,#소통해요,12
105,#집밥스타그램,1
106,#취미스타그램,1
107,#파티,2
108,#12월,2
109,#크리스마스,15
110,#연말,9
111,#신혼스타그램,3
112,#travel,70
113,#travelphotography,11
114,#travelholic,8
115,#동유럽,4
116,#travelpic,1
117,#austria,2
118,#salzburg,1
119,#photo,5
120,#christmas,9
121,#dailyshot,1
122,#likeforlikes,6
123,#instagood,19
124,#like4likes,6
125,#likeforfollow,9
126,#오스트리아,2
127,#짤츠부르크,1
128,#christmasmarket,1
129,#캐나다,5
130,#벤쿠버,1
131,#로키산백,1
132,#벤프,1
133,#인형,1
134,#인형스타그램,1
135,#솜뭉치,1
136,#솜뭉치스타그램,1
137,#윤지성,1
138,#윤지성인형,1
139,#룽룽구리,1
140,#핑구리,1
141,#꼬꼬마,1
142,#베비셩,1
143,#doll,1
144,#dollstagram,1
145,#Canada,1
146,#rockymountains,1
147,#vancouver,3
148,#Benff,1
149,#데일리룩,18
150,#인스타데일리,2
151,#dailylook,12
152,#오오티디,27
153,#l4l,8
154,#셀피,51
155,#셀카,62
156,#샌프란시스코,3
157,#sanfrancisco,2
158,#depound,1
159,#abib,1
160,#부부스타그램,6
161,#해외여행,10
162,#몰디브,1
163,#파래,1
164,#바다여행,2
165,#먹스타그램,37
166,#하늘,5
167,#푸른,1
