,word,count
0,#미드나잇키친,2
1,#연남동,851
2,#연남동맛집,111
3,#연남장,1
4,#저스트뮤직,3
5,#인디고뮤직,1
6,#WEDAPLUGG,1
7,#수석,1
8,#viewingstone,1
9,#스토네,1
10,#object,4
11,#adios,1
12,#크리스마스,76
13,#christmas,21
14,#연말파티,9
15,#연말모임,8
16,#송년회,16
17,#2019,4
18,#홍대,309
19,#와인,12
20,#와인바,8
21,#일상,235
22,#소통,188
23,#모임,7
24,#파티,14
25,#데일리,172
26,#daily,136
27,#개스타그램,3
28,#펫스타그램,3
29,#멍멍이,3
30,#멍스타그램,4
31,#독스타그램,2
32,#믹스견,2
33,#믹스견입양,2
34,#믹스견그램,2
35,#믹스견스타그램,2
36,#믹스견은사랑입니다,2
37,#임보,2
38,#입양,2
39,#인절미,2
40,#절미,2
41,#쎄리,2
42,#둘째,2
43,#퓨리동생,2
44,#5개월,2
45,#건강하게자라렴,4
46,#사랑해,5
47,#행복하게살자,2
48,#믹스견은매덩이입니다,2
49,#천재견,2
50,#모델견,2
51,#모델견지망생,2
52,#사료모델,2
53,#강아지옷모델,2
54,#강아지모델,2
55,#20,5
56,#딥블루레이크커피,1
57,#소소문구,1
58,#흑심,1
59,#아날로그,1
60,#최고,2
61,#베란다컵케익,1
62,#산울림1992,1
63,#망원동,39
64,#잘,1
65,#돌아다니네,1
66,#연남동에서크리스마스당일알차게보내기,1
67,#첫줄,33
68,#첫줄반사,14
69,#멜크,1
70,#메리크리스마스,14
71,#루돌프,3
72,#루돌프포르쉐,1
73,#연남,18
74,#연남카페거리,1
75,#카페스타그램,58
76,#크리스마스스타그램,1
77,#술스타그램,14
78,#드라이브스타그램,1
79,#연남동핫플,28
80,#연남스타그램,1
81,#소통해요,16
82,#소통스타그램,1
83,#셀카,128
84,#셀피,116
85,#셀스타그램,115
86,#얼스타그램,98
87,#대학생,21
88,#데일리룩,92
89,#오오티디,99
90,#부산,33
91,#좋아요반사,166
92,#좋아요,208
93,#팔로우,96
94,#선팔하면맞팔,110
95,#맞팔,202
96,#선팔,106
97,#인친,107
98,#다이렉트,3
99,#98,7
100,#22,6
101,#instagram,24
102,#selfie,104
103,#instagood,35
104,#likeforlike,5
105,#instalike,18
106,#selca,41
107,#followforfollow,3
108,#ootd,114
109,#f4f,76
110,#청계천도,1
111,#미리메리크리스마스,1
112,#한남동,95
113,#논현동,9
114,#강남,85
115,#이태원,138
116,#가로수길,118
117,#여의도,12
118,#종로3가,7
119,#동대문,9
120,#신촌,34
121,#한강,12
122,#광화문,8
123,#혜화,7
124,#명동,11
125,#충무로,7
126,#사당,8
127,#교대,7
128,#압구정,15
129,#잠실,16
130,#서울숲,11
131,#안산,8
132,#쌍문동,7
133,#신도림,7
134,#매봉,7
135,#신사동,24
136,#청담동,15
137,#fluffy,3
138,#연남동카페,106
139,#홍대카페,40
140,#카페,140
141,#커피,17
142,#디저트카페,15
143,#마포구카페,4
144,#예쁜카페,7
145,#감성카페,12
146,#도넛,3
147,#도넛맛집,3
148,#연남맛집,6
149,#디저트,28
150,#cafe,39
151,#coffee,14
152,#홍대맛집,57
153,#홍대디저트,3
154,#연남디저트,3
155,#먹방,28
156,#먹스타그램,91
157,#맛스타그램,47
158,#플러피,3
159,#플러피도넛,3
160,#서울카페,67
