,User_Name,Tags,Location,Datetime,Like_Count
0,jejumisomeatshop,"['#서울떡집', '#제주', '#제주도', '#서귀포', '#동홍동', '#비석거리', '#정육점', '#서귀포정육점', '#동홍동정육점', '#미소정육마트', '#매일올레시장', '#수제소세지', '#흑돼지', '#흑돼지소세지', '#사골곰국', '#몸국', '#수제돈가스', '#LA양념갈비', '#저기압일땐고기앞으로', '#한우', '#소통', '#맞팔', '#팔로우', '#좋아요', '#제주도민', '#전국택배', '#육아', '#집밥']",미소정육마트,2019년 12월 27일,27
1,0_woong,[],신창풍차해안도로,2019년 12월 27일,14
2,hihin917,"['#혜인픽', '#제주숙소', '#판포보름', '#제주', '#협재', '#판포', '#판포포구', '#제주숙소', '#제주여행', '#겨울제주', '#협재숙소', '#제주숙소추천']",Jeju,2019년 12월 27일,36
3,oz9ryeon,[],"제주도, Jeju",2019년 12월 27일,16
4,kijana_official,"['#제주', '#제주여행', '#제주여행코스', '#제주마지막날', '#제주도펍', '#제주펍', '#서귀포펍', '#서귀포카페', '#서귀포핫플레이스', '#서귀포핫플', '#서귀포칵테일', '#서귀포칵테일바', '#칵테일바', '#칵테일맛집', '#제주도가볼만한곳', '#피나콜라다']",키자나,2019년 12월 27일,12
5,corgi_bom.mom,"['#야쿠인', '#diginn']",DIGINN,2019년 12월 27일,79
6,y._.eojin,[],"제주도, Jeju",2019년 12월 27일,60
7,dongbaek_kitchen,"['#제주도', '#한림맛집', '#한림맛집추천', '#제주신상맛집', '#제주숨은맛집', '#애월맛집', '#제주맛집', '#제주도맛집', '#협재맛집', '#명월국민학교', '#제주도민맛집', '#제주파스타맛집', '#제주존맛', '#제주핫플', '#제주테이크아웃', '#jmt', '#곽지맛집', '#제주맛집추천', '#동문시장', '#중문맛집', '#더럭분교맛집', '#오설록맛집', '#새별오름', '#동백', '#동백꽃필무렵', '#여행에미치다', '#제주바다', '#제주여행', '#먹스타그램', '#제주']",동백키친,2019년 12월 27일,4
8,yea_ri,"['#제주', '#겨울제주', '#겨울여행', '#신혼']",Jeju,2019년 12월 27일,14
9,daedoad,"['#제주', '#대도광고', '#광고문의', '#제주광고회사', '#happynewyear', '#2020', '#경자년']",Jeju,2019년 12월 27일,2
