,word,count
0,#서울떡집,1
1,#제주,523
2,#제주도,198
3,#서귀포,50
4,#동홍동,3
5,#비석거리,2
6,#정육점,2
7,#서귀포정육점,2
8,#동홍동정육점,2
9,#미소정육마트,2
10,#매일올레시장,2
11,#수제소세지,2
12,#흑돼지,5
13,#흑돼지소세지,2
14,#사골곰국,2
15,#몸국,2
16,#수제돈가스,2
17,#LA양념갈비,2
18,#저기압일땐고기앞으로,2
19,#한우,2
20,#소통,59
21,#맞팔,50
22,#팔로우,48
23,#좋아요,65
24,#제주도민,16
25,#전국택배,2
26,#육아,5
27,#집밥,2
28,#혜인픽,1
29,#제주숙소,6
30,#판포보름,1
31,#협재,8
32,#판포,2
33,#판포포구,2
34,#제주여행,162
35,#겨울제주,11
36,#협재숙소,2
37,#제주숙소추천,3
38,#제주여행코스,4
39,#제주마지막날,1
40,#제주도펍,1
41,#제주펍,5
42,#서귀포펍,2
43,#서귀포카페,13
44,#서귀포핫플레이스,4
45,#서귀포핫플,1
46,#서귀포칵테일,1
47,#서귀포칵테일바,1
48,#칵테일바,1
49,#칵테일맛집,1
50,#제주도가볼만한곳,8
51,#피나콜라다,1
52,#야쿠인,1
53,#diginn,1
54,#한림맛집,19
55,#한림맛집추천,12
56,#제주신상맛집,12
57,#제주숨은맛집,13
58,#애월맛집,23
59,#제주맛집,50
60,#제주도맛집,36
61,#협재맛집,20
62,#명월국민학교,12
63,#제주도민맛집,15
64,#제주파스타맛집,12
65,#제주존맛,12
66,#제주핫플,29
67,#제주테이크아웃,12
68,#jmt,19
69,#곽지맛집,12
70,#제주맛집추천,19
71,#동문시장,16
72,#중문맛집,13
73,#더럭분교맛집,12
74,#오설록맛집,12
75,#새별오름,23
76,#동백,18
77,#동백꽃필무렵,14
78,#여행에미치다,35
79,#제주바다,21
80,#먹스타그램,27
81,#겨울여행,9
82,#신혼,2
83,#대도광고,1
84,#광고문의,1
85,#제주광고회사,1
86,#happynewyear,1
87,#2020,4
88,#경자년,1
89,#덴드리,2
90,#제주카페,51
91,#돌카롱,4
92,#제주돌카롱,1
93,#딸기,2
94,#바닐라,1
95,#망고,1
96,#와이프,2
97,#여행,104
98,#성산,4
99,#피시앤칩스,1
100,#윌라라,1
101,#맛스타그램,11
102,#instafood,2
103,#foodie,2
104,#foodstagram,3
105,#foodpic,2
106,#fishandchops,1
107,#카페태희,1
108,#레몬,1
109,#차,1
110,#lemon,1
111,#tea,3
112,#누벨바그카페,1
113,#제주까페,1
114,#jejucafe,9
115,#jeju,135
116,#이도이동카페,1
117,#이도공원길,1
118,#동네까페,1
119,#혜성무지개아파트,1
120,#누벨바그,1
121,#카페,43
122,#커피,4
123,#라떼,2
124,#마끼아또,1
125,#NouvelleVague,1
126,#cafe,18
127,#coffee,12
128,#Americano,1
129,#latte,1
130,#macchiato,1
131,#창원,4
132,#마산,3
133,#일상,103
134,#daily,77
135,#오오티디,32
136,#ootd,48
137,#셀카,53
138,#셀스타그램,56
139,#좋반,26
140,#선팔,31
141,#follow,24
142,#follow4follow,4
143,#f4f,39
144,#fff,19
145,#like4like,5
146,#l4l,15
147,#lfl,7
148,#instagood,20
149,#igers,2
150,#인스타그램,20
151,#instagram,38
152,#셀피,52
153,#멍스타그램,5
154,#비숑,3
155,#비숑프리제,4
156,#travel,32
157,#travelgram,6
158,#landscape,6
159,#snapshot,4
160,#follower,4
161,#여행스타그램,55
162,#럽스타그램,30
163,#데일리,74
164,#댓글,6
165,#세계여행,3
166,#스냅,5
167,#memories,3
168,#추억,5
169,#사진,26
170,#likeforfollow,11
171,#newzealand,3
172,#원이네,1
173,#휴애리,8
174,#영원한사랑,1
175,#원이네제주여행,1
176,#레일바이크,1
177,#일상스타그램,24
178,#날씨좋음,1
179,#감동,1
180,#오름,4
181,#나,2
182,#햇살,1
183,#잊을수없는곳,1
184,#행복,3
185,#제주도호텔,1
186,#뷰,1
187,#오션뷰,5
188,#호텔라운지,1
189,#망고주스,1
190,#젤좋아,1
191,#산책,1
192,#바람,6
193,#제주도여행,84
194,#여행엔레깅스,1
195,#패딩,1
196,#춥다,2
197,#구름,2
198,#하늘,8
199,#책,2
200,#내성적인여행자,1
201,#정여울,1
202,#편지써야겠어요,1
203,#시간이흘러도여전히좋은책들의공간,1
204,#서점,1
205,#독서의입구,1
206,#대정읍,1
207,#모슬포,3
208,#제주책방,1
209,#제주서점,1
210,#책스타그램,1
211,#북스타그램,3
212,#제주일상,7
213,#제주한달살이,2
214,#제주도그램,6
215,#제주도서관,1
216,#제주원데이,1
217,#제주서쪽,3
218,#책읽는서점,1
219,#독서모임,1
220,#그림,1
221,#북,1
222,#서홍정원,1
223,#딸기파티,1
224,#바다,23
225,#함덕해변,1
226,#요미크,1
227,#까메오목걸이,1
228,#여행시작,1
229,#강아지,4
230,#개무시,1
231,#jejuisland,30
232,#likeforlikes,30
233,#dogstagram,2
234,#난드르커피,1
235,#제주공항근처카페,2
236,#제주공항근처맛집,3
237,#용담해안도로,1
238,#도두봉,1
239,#도두카페,1
240,#이호해수욕장,1
241,#말등대,2
242,#제주신상카페,6
243,#제주디저트카페,1
244,#희스토리,1
245,#좋아요반사,33
246,#애월카페,13
247,#dessert,3
248,#노형카페,3
249,#한림카페,2
250,#도두맛집,1
251,#heestory,1
252,#제주해돋이,1
253,#제주일출명소,2
254,#우도,9
255,#cjun,1
256,#태교,1
257,#태교여행,2
258,#제주스타그램,8
259,#우도봉,1
260,#udo,3
261,#바람의언덕,1
262,#등산,3
263,#30주,1
264,#임산부,1
265,#8개월,1
266,#전주,2
267,#전주대,1
268,#전주대학교,1
269,#대학생,5
270,#23,1
271,#오늘인척,1
272,#데일리룩,22
273,#패션,4
274,#패션스타그램,3
275,#발렌시아가,1
276,#balenciaga,1
277,#오사카,1
278,#첫줄,10
279,#첫줄반사,6
280,#인스타사이즈,1
281,#인친,26
282,#아웃핏,4
283,#구찌,1
284,#아디다스,1
285,#겹겹의의도,1
286,#서귀포빵집,2
287,#제주베이커리,4
288,#올레시장맛집,1
289,#빵순이,1
290,#크로아상맛집,1
291,#겹겹의앙버터,1
292,#연말,10
293,#언박싱,2
294,#늦은크리스마스선물,1
295,#mtb신발,1
296,#fiveten,1
297,#troyleedesigns,1
298,#adidas,1
299,#collaboration,1
300,#더피티,1
301,#thept,1
302,#노형피티,1
303,#제주피티,1
304,#개인피티,1
305,#노형pt,1
306,#제주pt,1
307,#체형교정,1
308,#제주체형교정,1
309,#다이어트자극,1
310,#운동자극,1
311,#제주휘트니스,1
312,#제주재활,1
313,#제주다이어트,2
314,#제주척추운동,1
315,#척추교정,1
316,#척추강화,1
317,#제주피티샵,1
318,#귤따기,1
319,#부부여행,3
320,#제주도귤밭,3
321,#위미리동백군락지,9
322,#일일일빵,1
323,#note8,1
324,#photo,4
325,#제주숙박할인,1
326,#제주숙소할인,1
327,#제주커플룸,1
328,#제주온돌룸,1
329,#제주할인이벤트,1
330,#soheunhouse,1
331,#제주풍경,3
332,#제주민박,1
333,#제주도숙소,5
334,#서귀포숙소,1
335,#제주무료스냅촬영,1
336,#서귀포숙박,1
337,#제주숙박,1
338,#제주무료스냅,1
339,#소흔,1
340,#소흔하우스,1
341,#바다보며,1
342,#바다다카페,1
343,#중문,3
344,#에어그라운드,2
345,#인태기극복중,1
346,#협재네일,1
347,#캐릭터네일,2
348,#라팡시아,1
349,#라팡시아네일,1
350,#젤네일,2
351,#제주네일,2
352,#제주맘스타그램,2
353,#제주네일잘하는집,1
354,#제주속눈썹연장,3
355,#제주네일아트,1
356,#여름네일,1
357,#제주라팡시아네일,1
358,#이달의네일,1
359,#한림네일,1
360,#제주한림네일,1
361,#한림속눈썹연장,1
362,#nail,2
363,#웨딩네일,1
364,#제주영어마을,1
365,#펭수,3
366,#펭수네일,1
367,#스튜디오쿠나,1
368,#사진에미치다,7
369,#색감,1
370,#색감미술관,1
371,#색감깡패,1
372,#색감보정,1
373,#협재해수욕장,20
374,#월간Rx,1
375,#rx100m5a,1
376,#사진보정,1
377,#koreatrip,1
378,#koreatravel,1
379,#쇼핑지옥,1
380,#1일1기념품,1
381,#12월의제주,1
382,#아가랑여행,1
383,#엄마랑,1
384,#친구랑,1
385,#아가랑,1
386,#여행룩,2
387,#우정스타그램,8
388,#딸스타그램,1
389,#육아스타그램,2
390,#육아일상,1
391,#육아기록,1
392,#더콘테나,1
393,#제주도스냅,4
394,#제주카페추천,13
395,#옷스타그램,9
396,#선팔하면맞팔,16
397,#선팔맞팔,10
398,#OOTD,1
399,#내사랑,1
400,#2019,3
401,#울트라마린,2
402,#sea,3
403,#view,1
404,#한라봉주스,1
405,#한라봉,1
406,#제주동문시장,2
407,#하도리1091,1
408,#제주신상숙소,1
409,#제주독채,1
410,#구좌읍숙소,1
411,#제주돌집숙소,1
412,#구좌숙소,1
413,#성산숙소,1
414,#종달리숙소,1
415,#하도리숙소,1
416,#월정리숙소,2
417,#제주감성숙소,5
418,#제주펜션,4
419,#제주독채펜션,2
420,#제주도신상숙소,1
421,#제주도독채민박,1
422,#제주독채민박,1
423,#제주도핫플,5
424,#제주도숙소추천,3
425,#제주돌집,1
426,#제주이쁜숙소,1
427,#사진기록,1
428,#게스트하우스,1
429,#식구들,1
430,#한라산,15
431,#날외일오,1
432,#날외15,1
433,#제주도카페,10
434,#제주서쪽카페,1
435,#제주서쪽여행,2
436,#서귀포여행,7
437,#대정카페,1
438,#일과리,1
439,#일과리카페,1
440,#감성카페,2
441,#정원카페,1
442,#식물,1
443,#CAFE,1
444,#정원,1
445,#카페모카,1
446,#어서와,1
447,#웹툰,1
448,#고아라,1
449,#인테리어소품,1
450,#라떼아트,1
451,#액자,1
452,#겨울,13
453,#국내여행,9
454,#커플여행,2
455,#제주스냅,9
